Study_Hours_per_Week,Use_of_Educational_Tech,Online_Courses_Completed,Final_Grade,Preferred_Learning_Style
19,No,9,2,Reading/Writing
34,No,3,3,Kinesthetic
15,No,6,0,Reading/Writing
20,No,10,0,Reading/Writing
17,Yes,5,1,Auditory
9,Yes,6,0,Visual
19,Yes,6,0,Auditory
9,Yes,6,1,Visual
8,Yes,6,2,Visual
33,No,4,2,Kinesthetic
39,Yes,2,3,Kinesthetic
14,Yes,5,1,Auditory
23,No,2,1,Kinesthetic
20,No,7,0,Reading/Writing
10,Yes,7,1,Auditory
11,Yes,6,1,Auditory
31,Yes,5,1,Kinesthetic
20,Yes,4,1,Kinesthetic
5,Yes,6,2,Visual
12,No,6,0,Reading/Writing
23,No,7,2,Reading/Writing
7,Yes,4,2,Visual
17,Yes,4,1,Auditory
6,Yes,4,0,Visual
23,Yes,2,3,Kinesthetic
20,Yes,7,2,Auditory
15,Yes,4,2,Auditory
10,No,10,0,Reading/Writing
19,Yes,3,1,Kinesthetic
34,No,4,2,Kinesthetic
19,No,8,2,Reading/Writing
20,Yes,4,1,Kinesthetic
18,Yes,8,2,Auditory
15,No,9,0,Reading/Writing
21,No,9,0,Reading/Writing
19,No,5,2,Kinesthetic
15,No,8,0,Reading/Writing
28,No,5,3,Kinesthetic
11,Yes,6,1,Auditory
7,Yes,4,0,Visual
19,Yes,3,1,Kinesthetic
9,Yes,4,0,Visual
14,Yes,7,2,Auditory
27,Yes,3,1,Kinesthetic
24,No,5,0,Reading/Writing
8,Yes,5,1,Auditory
25,No,5,0,Reading/Writing
10,No,9,1,Reading/Writing
11,Yes,8,0,Auditory
9,Yes,5,0,Auditory
14,Yes,5,1,Visual
15,No,7,0,Reading/Writing
25,No,10,0,Reading/Writing
20,Yes,4,2,Auditory
11,Yes,5,0,Auditory
10,Yes,4,2,Visual
21,No,2,2,Kinesthetic
8,Yes,3,1,Visual
12,Yes,5,1,Auditory
19,Yes,4,1,Auditory
16,No,9,2,Reading/Writing
12,Yes,3,0,Visual
17,No,5,1,Reading/Writing
14,No,7,1,Reading/Writing
17,No,10,0,Reading/Writing
16,No,10,0,Reading/Writing
29,No,2,2,Kinesthetic
25,No,5,3,Kinesthetic
19,Yes,4,0,Auditory
15,Yes,4,2,Auditory
11,No,6,0,Reading/Writing
18,Yes,5,1,Auditory
16,Yes,5,0,Auditory
13,Yes,4,1,Auditory
25,No,8,0,Reading/Writing
23,No,5,0,Reading/Writing
19,Yes,8,2,Auditory
29,Yes,3,1,Kinesthetic
29,Yes,4,2,Kinesthetic
20,Yes,6,1,Auditory
16,Yes,8,2,Auditory
5,Yes,7,0,Visual
15,No,6,1,Reading/Writing
19,No,6,0,Reading/Writing
5,Yes,6,0,Visual
13,No,7,2,Reading/Writing
15,Yes,4,1,Visual
32,Yes,5,2,Kinesthetic
21,No,7,0,Reading/Writing
13,Yes,7,1,Visual
6,Yes,4,0,Visual
29,Yes,2,2,Kinesthetic
12,Yes,4,1,Visual
11,Yes,5,1,Visual
16,No,2,2,Kinesthetic
20,No,6,2,Reading/Writing
21,No,9,2,Reading/Writing
20,Yes,7,1,Auditory
19,No,10,0,Reading/Writing
29,No,5,2,Kinesthetic
5,Yes,6,1,Visual
20,No,2,1,Kinesthetic
19,Yes,4,1,Auditory
20,Yes,4,2,Auditory
18,Yes,8,1,Auditory
8,Yes,3,1,Visual
12,Yes,6,2,Visual
5,Yes,6,1,Visual
9,Yes,4,1,Visual
11,Yes,7,1,Visual
21,Yes,4,1,Kinesthetic
13,No,8,0,Reading/Writing
11,Yes,5,0,Visual
7,Yes,3,0,Visual
19,No,5,2,Reading/Writing
6,Yes,7,1,Visual
19,No,4,3,Kinesthetic
14,No,7,1,Reading/Writing
17,Yes,8,1,Auditory
8,Yes,8,2,Auditory
31,Yes,2,2,Kinesthetic
18,No,6,2,Reading/Writing
25,No,6,1,Reading/Writing
7,Yes,6,0,Visual
9,Yes,5,1,Visual
8,Yes,4,0,Visual
15,Yes,4,1,Auditory
21,No,2,3,Kinesthetic
14,Yes,4,1,Visual
9,Yes,6,2,Auditory
11,Yes,8,2,Auditory
8,Yes,3,0,Visual
19,Yes,7,0,Auditory
22,No,9,0,Reading/Writing
5,Yes,4,1,Visual
13,No,6,1,Reading/Writing
38,No,3,1,Kinesthetic
11,Yes,3,1,Visual
5,Yes,6,1,Visual
21,No,6,0,Reading/Writing
13,Yes,6,1,Visual
39,No,5,2,Kinesthetic
31,Yes,2,2,Kinesthetic
6,Yes,3,2,Visual
8,Yes,5,1,Auditory
23,Yes,4,1,Kinesthetic
11,No,9,0,Reading/Writing
15,Yes,6,1,Visual
31,Yes,4,3,Kinesthetic
25,No,3,2,Kinesthetic
10,Yes,3,0,Visual
6,Yes,7,0,Visual
29,No,4,3,Kinesthetic
16,Yes,8,1,Auditory
20,No,10,1,Reading/Writing
18,No,7,0,Reading/Writing
13,No,10,2,Reading/Writing
9,Yes,4,2,Visual
38,No,3,2,Kinesthetic
39,Yes,4,2,Kinesthetic
14,No,8,2,Reading/Writing
9,Yes,6,2,Visual
25,No,2,1,Kinesthetic
16,No,8,0,Reading/Writing
40,No,4,2,Kinesthetic
25,No,10,0,Reading/Writing
5,Yes,7,1,Visual
15,Yes,8,1,Auditory
10,No,6,2,Reading/Writing
11,No,6,1,Reading/Writing
8,Yes,8,1,Auditory
8,Yes,6,1,Visual
35,Yes,3,3,Kinesthetic
35,No,3,3,Kinesthetic
30,Yes,4,2,Kinesthetic
16,No,10,1,Reading/Writing
14,Yes,6,2,Auditory
32,Yes,5,2,Kinesthetic
8,Yes,5,0,Visual
16,No,9,1,Reading/Writing
13,Yes,7,2,Auditory
7,Yes,7,0,Visual
40,Yes,2,3,Kinesthetic
17,No,8,1,Reading/Writing
24,No,6,1,Reading/Writing
35,No,2,2,Kinesthetic
12,No,10,1,Reading/Writing
13,No,9,0,Reading/Writing
9,Yes,8,0,Auditory
29,No,2,2,Kinesthetic
35,No,4,2,Kinesthetic
13,No,7,2,Reading/Writing
18,Yes,4,1,Auditory
11,Yes,5,0,Auditory
14,Yes,7,1,Auditory
26,No,4,2,Kinesthetic
38,Yes,5,2,Kinesthetic
10,Yes,6,0,Visual
6,Yes,5,0,Visual
40,Yes,3,2,Kinesthetic
20,No,4,2,Kinesthetic
9,Yes,3,0,Visual
39,Yes,4,3,Kinesthetic
21,No,4,2,Kinesthetic
34,No,5,2,Kinesthetic
12,Yes,7,1,Auditory
20,No,5,0,Reading/Writing
10,Yes,5,1,Visual
14,Yes,5,2,Visual
34,No,4,1,Kinesthetic
9,Yes,6,1,Visual
22,No,7,0,Reading/Writing
18,Yes,5,2,Auditory
14,No,6,1,Reading/Writing
21,No,6,0,Reading/Writing
15,No,5,3,Kinesthetic
9,Yes,4,0,Visual
13,Yes,7,0,Visual
21,No,10,1,Reading/Writing
14,No,6,1,Reading/Writing
13,Yes,7,1,Auditory
15,Yes,3,1,Visual
13,Yes,3,0,Visual
21,No,2,1,Kinesthetic
17,No,5,3,Kinesthetic
10,Yes,6,0,Auditory
25,Yes,3,1,Kinesthetic
23,No,3,2,Kinesthetic
25,No,2,2,Kinesthetic
11,Yes,5,1,Auditory
10,Yes,6,1,Visual
35,No,5,2,Kinesthetic
15,No,5,2,Reading/Writing
18,Yes,7,2,Auditory
14,Yes,4,0,Visual
23,No,9,2,Reading/Writing
13,No,8,1,Reading/Writing
9,Yes,7,0,Visual
20,No,5,1,Reading/Writing
20,Yes,6,1,Auditory
6,Yes,6,0,Visual
15,Yes,2,2,Kinesthetic
14,Yes,6,1,Visual
20,Yes,2,2,Kinesthetic
11,Yes,5,0,Visual
18,Yes,4,1,Auditory
19,No,3,1,Kinesthetic
36,No,3,2,Kinesthetic
13,Yes,8,0,Auditory
24,Yes,2,2,Kinesthetic
10,Yes,5,1,Auditory
13,Yes,7,2,Visual
14,Yes,6,1,Auditory
36,Yes,3,3,Kinesthetic
18,Yes,5,2,Kinesthetic
22,No,5,0,Reading/Writing
6,Yes,5,0,Visual
16,Yes,6,2,Auditory
13,Yes,4,2,Auditory
21,No,10,0,Reading/Writing
10,Yes,3,0,Visual
14,No,5,0,Reading/Writing
18,No,7,0,Reading/Writing
20,No,7,0,Reading/Writing
18,Yes,4,2,Auditory
9,Yes,4,2,Visual
6,Yes,4,1,Visual
31,Yes,5,1,Kinesthetic
28,Yes,4,1,Kinesthetic
23,No,8,1,Reading/Writing
14,Yes,7,2,Auditory
13,Yes,7,0,Visual
31,No,5,1,Kinesthetic
13,Yes,5,1,Auditory
22,No,4,1,Kinesthetic
14,Yes,3,2,Visual
11,Yes,3,1,Visual
20,Yes,7,1,Auditory
22,No,9,1,Reading/Writing
15,Yes,7,1,Visual
30,Yes,2,1,Kinesthetic
18,No,6,0,Reading/Writing
19,Yes,4,1,Auditory
24,No,9,2,Reading/Writing
20,No,10,0,Reading/Writing
25,No,4,1,Kinesthetic
25,No,5,1,Kinesthetic
35,No,4,1,Kinesthetic
8,Yes,5,0,Visual
19,No,5,2,Reading/Writing
24,No,6,1,Reading/Writing
11,Yes,5,0,Visual
12,Yes,5,1,Visual
20,Yes,7,1,Auditory
36,No,4,1,Kinesthetic
13,Yes,4,2,Auditory
12,Yes,7,1,Auditory
10,No,6,0,Reading/Writing
29,No,2,1,Kinesthetic
19,Yes,4,2,Auditory
5,Yes,7,1,Visual
17,Yes,8,0,Auditory
15,Yes,4,1,Visual
13,Yes,4,1,Auditory
14,Yes,6,1,Auditory
38,Yes,3,1,Kinesthetic
6,Yes,3,2,Visual
19,Yes,8,0,Auditory
19,No,9,1,Reading/Writing
14,Yes,4,0,Visual
31,No,5,2,Kinesthetic
5,Yes,7,0,Visual
30,Yes,4,1,Kinesthetic
14,No,10,1,Reading/Writing
23,No,4,2,Kinesthetic
10,Yes,7,1,Visual
10,Yes,4,0,Visual
18,No,5,1,Reading/Writing
13,Yes,7,1,Visual
35,No,3,2,Kinesthetic
24,Yes,3,2,Kinesthetic
11,No,6,0,Reading/Writing
18,Yes,6,0,Auditory
8,Yes,4,1,Auditory
11,No,7,1,Reading/Writing
8,Yes,5,0,Visual
14,Yes,6,1,Visual
26,No,3,2,Kinesthetic
17,No,7,2,Reading/Writing
23,Yes,2,1,Kinesthetic
38,Yes,5,2,Kinesthetic
33,No,5,2,Kinesthetic
21,No,2,3,Kinesthetic
15,Yes,6,1,Auditory
12,Yes,3,1,Visual
36,No,4,3,Kinesthetic
12,Yes,5,1,Visual
23,Yes,4,2,Kinesthetic
10,No,10,0,Reading/Writing
37,Yes,5,1,Kinesthetic
19,Yes,2,2,Kinesthetic
32,No,3,3,Kinesthetic
8,Yes,7,2,Auditory
15,No,9,0,Reading/Writing
11,No,5,2,Reading/Writing
6,Yes,3,0,Visual
14,Yes,8,0,Auditory
12,No,6,1,Reading/Writing
14,Yes,4,1,Auditory
14,Yes,5,2,Auditory
12,Yes,5,1,Visual
36,No,4,2,Kinesthetic
21,No,10,0,Reading/Writing
27,Yes,4,2,Kinesthetic
18,No,5,1,Reading/Writing
19,No,8,2,Reading/Writing
5,Yes,6,2,Visual
31,Yes,4,1,Kinesthetic
26,No,4,1,Kinesthetic
13,Yes,3,1,Visual
18,Yes,4,2,Kinesthetic
14,Yes,3,0,Visual
21,No,8,1,Reading/Writing
26,Yes,5,2,Kinesthetic
14,Yes,5,2,Auditory
31,Yes,2,1,Kinesthetic
20,No,9,0,Reading/Writing
10,Yes,7,2,Auditory
39,Yes,3,1,Kinesthetic
11,No,10,0,Reading/Writing
20,Yes,7,0,Auditory
39,No,3,1,Kinesthetic
16,No,7,1,Reading/Writing
17,Yes,5,2,Auditory
16,No,8,2,Reading/Writing
15,Yes,4,2,Auditory
11,Yes,5,2,Auditory
25,Yes,5,2,Kinesthetic
16,Yes,5,1,Auditory
13,No,10,1,Reading/Writing
15,Yes,6,0,Visual
12,Yes,6,2,Auditory
14,Yes,5,1,Visual
8,Yes,5,0,Auditory
10,Yes,4,0,Auditory
19,No,5,2,Kinesthetic
10,Yes,6,0,Visual
33,No,5,1,Kinesthetic
24,No,7,0,Reading/Writing
8,Yes,3,0,Visual
22,No,5,0,Reading/Writing
17,No,5,0,Reading/Writing
36,Yes,3,2,Kinesthetic
8,Yes,6,1,Auditory
21,Yes,3,2,Kinesthetic
25,No,10,0,Reading/Writing
19,Yes,7,0,Auditory
14,Yes,8,1,Auditory
15,No,8,2,Reading/Writing
5,Yes,5,0,Visual
11,Yes,6,0,Visual
40,No,5,1,Kinesthetic
38,No,4,2,Kinesthetic
22,No,5,1,Reading/Writing
14,Yes,7,2,Auditory
15,No,5,1,Reading/Writing
9,Yes,7,1,Auditory
11,No,6,1,Reading/Writing
11,No,8,0,Reading/Writing
22,No,7,2,Reading/Writing
13,Yes,7,1,Auditory
6,Yes,5,2,Visual
6,Yes,3,1,Visual
10,Yes,4,2,Visual
18,Yes,5,1,Kinesthetic
32,No,4,2,Kinesthetic
17,No,3,2,Kinesthetic
16,Yes,6,2,Auditory
7,Yes,7,0,Visual
16,Yes,7,0,Auditory
9,Yes,6,2,Visual
11,Yes,7,1,Visual
6,Yes,5,2,Visual
5,Yes,6,0,Visual
6,Yes,5,2,Visual
28,No,2,1,Kinesthetic
22,No,9,0,Reading/Writing
25,No,6,1,Reading/Writing
34,No,5,1,Kinesthetic
14,Yes,5,0,Auditory
13,Yes,4,2,Visual
39,No,2,3,Kinesthetic
9,Yes,3,0,Visual
25,No,3,3,Kinesthetic
12,No,7,0,Reading/Writing
8,Yes,6,1,Visual
12,Yes,7,1,Auditory
12,No,9,0,Reading/Writing
22,No,9,1,Reading/Writing
6,Yes,6,1,Visual
22,No,4,1,Kinesthetic
23,No,3,1,Kinesthetic
14,Yes,5,0,Visual
17,Yes,4,2,Auditory
24,No,5,0,Reading/Writing
19,No,9,0,Reading/Writing
33,Yes,4,3,Kinesthetic
16,Yes,7,0,Auditory
39,Yes,5,2,Kinesthetic
14,No,7,0,Reading/Writing
23,Yes,3,1,Kinesthetic
10,Yes,5,2,Visual
13,Yes,4,0,Visual
8,Yes,5,1,Auditory
15,Yes,4,1,Visual
14,Yes,8,2,Auditory
15,No,10,0,Reading/Writing
18,Yes,6,1,Auditory
25,No,5,0,Reading/Writing
11,No,9,1,Reading/Writing
7,Yes,4,0,Visual
12,Yes,6,2,Auditory
22,Yes,3,2,Kinesthetic
10,Yes,6,1,Visual
15,No,6,0,Reading/Writing
17,No,9,0,Reading/Writing
28,Yes,3,2,Kinesthetic
16,No,4,2,Kinesthetic
9,Yes,7,0,Auditory
19,Yes,6,1,Auditory
38,Yes,3,2,Kinesthetic
18,Yes,7,0,Auditory
22,No,8,1,Reading/Writing
12,Yes,6,0,Visual
26,No,2,2,Kinesthetic
10,Yes,6,0,Auditory
40,Yes,5,2,Kinesthetic
38,No,2,1,Kinesthetic
10,Yes,3,0,Visual
5,Yes,4,0,Visual
18,Yes,8,1,Auditory
13,Yes,5,0,Auditory
10,Yes,6,1,Auditory
38,Yes,3,2,Kinesthetic
18,Yes,6,1,Auditory
18,Yes,8,0,Auditory
24,No,3,3,Kinesthetic
6,Yes,3,1,Visual
26,No,2,1,Kinesthetic
8,Yes,5,0,Visual
37,Yes,4,1,Kinesthetic
13,No,6,2,Reading/Writing
40,No,3,1,Kinesthetic
14,Yes,5,0,Visual
18,Yes,4,2,Auditory
19,Yes,6,1,Auditory
37,No,5,1,Kinesthetic
13,Yes,8,0,Auditory
18,Yes,8,0,Auditory
14,Yes,7,1,Visual
14,Yes,5,2,Auditory
29,No,4,1,Kinesthetic
29,No,4,1,Kinesthetic
40,No,2,3,Kinesthetic
8,Yes,7,1,Auditory
9,Yes,8,0,Auditory
11,No,6,0,Reading/Writing
13,Yes,5,0,Auditory
16,Yes,5,2,Auditory
22,Yes,4,2,Kinesthetic
11,Yes,8,0,Auditory
19,Yes,5,1,Auditory
13,Yes,5,2,Auditory
15,Yes,7,1,Visual
14,Yes,3,0,Visual
40,No,4,1,Kinesthetic
11,Yes,5,0,Auditory
25,No,8,0,Reading/Writing
32,No,2,2,Kinesthetic
25,No,8,0,Reading/Writing
20,No,9,0,Reading/Writing
11,Yes,6,0,Visual
15,Yes,8,2,Auditory
6,Yes,6,0,Visual
11,Yes,8,1,Auditory
15,Yes,8,2,Auditory
21,Yes,5,1,Kinesthetic
19,No,9,0,Reading/Writing
11,No,7,1,Reading/Writing
15,Yes,4,1,Visual
39,Yes,5,1,Kinesthetic
7,Yes,3,0,Visual
10,Yes,7,1,Auditory
14,Yes,3,2,Visual
8,Yes,7,0,Visual
28,No,4,2,Kinesthetic
15,No,7,1,Reading/Writing
9,Yes,6,0,Visual
15,Yes,6,1,Auditory
20,No,5,1,Reading/Writing
12,Yes,8,2,Auditory
15,Yes,5,3,Kinesthetic
15,Yes,5,0,Auditory
10,Yes,3,1,Visual
24,No,10,0,Reading/Writing
7,Yes,6,0,Visual
16,Yes,4,1,Auditory
11,Yes,3,2,Visual
16,Yes,8,1,Auditory
15,Yes,7,0,Visual
37,No,4,2,Kinesthetic
15,No,10,0,Reading/Writing
13,Yes,5,1,Visual
25,No,6,1,Reading/Writing
11,Yes,7,0,Visual
20,Yes,5,1,Auditory
9,Yes,6,0,Visual
12,Yes,3,2,Visual
10,Yes,5,0,Auditory
21,No,10,0,Reading/Writing
33,No,3,1,Kinesthetic
10,Yes,4,2,Auditory
19,No,10,1,Reading/Writing
5,Yes,5,1,Visual
27,No,4,1,Kinesthetic
18,No,6,2,Reading/Writing
16,Yes,6,1,Auditory
20,Yes,2,2,Kinesthetic
12,Yes,5,0,Visual
19,Yes,5,2,Auditory
11,Yes,4,1,Visual
23,Yes,5,1,Kinesthetic
12,Yes,5,1,Visual
20,No,5,1,Reading/Writing
32,Yes,4,1,Kinesthetic
15,No,5,2,Kinesthetic
6,Yes,3,1,Visual
7,Yes,4,0,Visual
6,Yes,7,0,Visual
22,No,4,3,Kinesthetic
7,Yes,5,0,Visual
36,Yes,3,1,Kinesthetic
6,Yes,7,0,Visual
37,No,3,1,Kinesthetic
30,No,5,1,Kinesthetic
17,Yes,4,1,Auditory
19,No,4,3,Kinesthetic
39,Yes,2,3,Kinesthetic
25,Yes,5,2,Kinesthetic
9,Yes,3,0,Visual
15,Yes,3,2,Visual
24,No,8,0,Reading/Writing
12,No,10,2,Reading/Writing
16,No,7,1,Reading/Writing
10,Yes,7,1,Visual
24,No,9,2,Reading/Writing
9,Yes,4,1,Auditory
10,Yes,4,1,Visual
11,No,9,0,Reading/Writing
9,Yes,6,1,Auditory
15,No,5,0,Reading/Writing
11,Yes,7,0,Visual
39,No,5,2,Kinesthetic
14,No,7,1,Reading/Writing
23,No,5,2,Reading/Writing
12,No,5,2,Reading/Writing
9,Yes,6,0,Visual
14,Yes,5,1,Auditory
23,No,10,1,Reading/Writing
9,Yes,6,1,Auditory
15,Yes,5,3,Kinesthetic
12,Yes,5,0,Visual
16,Yes,8,2,Auditory
27,Yes,4,1,Kinesthetic
13,Yes,4,0,Visual
15,Yes,4,0,Auditory
5,Yes,5,0,Visual
8,Yes,4,0,Auditory
11,Yes,3,0,Visual
22,Yes,2,2,Kinesthetic
10,Yes,4,0,Visual
33,No,2,2,Kinesthetic
21,No,3,1,Kinesthetic
15,Yes,3,1,Visual
9,Yes,4,1,Auditory
12,No,8,1,Reading/Writing
11,No,10,2,Reading/Writing
23,No,2,3,Kinesthetic
20,Yes,5,1,Auditory
24,No,2,2,Kinesthetic
13,Yes,5,1,Auditory
15,Yes,6,1,Auditory
5,Yes,4,0,Visual
18,No,8,1,Reading/Writing
8,Yes,4,1,Visual
6,Yes,6,2,Visual
17,Yes,5,1,Kinesthetic
19,No,4,3,Kinesthetic
16,Yes,6,2,Auditory
29,No,4,3,Kinesthetic
8,Yes,8,2,Auditory
11,Yes,4,0,Visual
11,Yes,5,2,Auditory
12,No,6,2,Reading/Writing
34,Yes,2,1,Kinesthetic
39,No,4,1,Kinesthetic
15,No,7,0,Reading/Writing
24,No,7,1,Reading/Writing
14,Yes,7,1,Auditory
17,No,7,1,Reading/Writing
9,Yes,7,2,Visual
11,Yes,5,0,Auditory
17,Yes,5,2,Auditory
24,Yes,5,1,Kinesthetic
37,No,2,2,Kinesthetic
15,Yes,3,0,Visual
20,No,7,0,Reading/Writing
7,Yes,5,1,Visual
15,Yes,4,1,Kinesthetic
9,Yes,5,2,Visual
16,No,8,0,Reading/Writing
18,No,7,0,Reading/Writing
21,No,4,1,Kinesthetic
6,Yes,6,0,Visual
5,Yes,4,2,Visual
10,Yes,6,0,Visual
18,Yes,5,1,Auditory
29,No,2,2,Kinesthetic
6,Yes,6,0,Visual
5,Yes,6,0,Visual
20,Yes,6,1,Auditory
31,No,3,2,Kinesthetic
20,No,7,0,Reading/Writing
19,Yes,8,0,Auditory
11,Yes,6,2,Auditory
14,Yes,3,2,Visual
16,Yes,5,1,Auditory
40,Yes,5,2,Kinesthetic
15,Yes,8,1,Auditory
28,No,3,2,Kinesthetic
11,Yes,5,1,Visual
21,No,9,1,Reading/Writing
25,No,9,0,Reading/Writing
24,Yes,5,2,Kinesthetic
20,No,2,1,Kinesthetic
30,Yes,2,3,Kinesthetic
9,Yes,5,0,Auditory
12,No,8,0,Reading/Writing
11,Yes,7,2,Visual
32,Yes,2,3,Kinesthetic
11,No,6,2,Reading/Writing
31,No,5,3,Kinesthetic
19,No,6,0,Reading/Writing
19,Yes,5,1,Auditory
20,Yes,2,1,Kinesthetic
17,No,10,0,Reading/Writing
12,Yes,7,0,Visual
17,Yes,4,1,Auditory
20,No,8,1,Reading/Writing
9,Yes,8,1,Auditory
32,No,4,1,Kinesthetic
14,Yes,4,2,Visual
11,No,7,0,Reading/Writing
13,No,9,0,Reading/Writing
15,No,9,0,Reading/Writing
15,Yes,6,0,Visual
20,Yes,7,2,Auditory
15,Yes,7,0,Visual
9,Yes,6,1,Visual
12,No,9,1,Reading/Writing
23,No,6,2,Reading/Writing
5,Yes,6,0,Visual
34,Yes,2,1,Kinesthetic
12,Yes,8,1,Auditory
12,No,6,0,Reading/Writing
10,Yes,3,1,Visual
11,Yes,4,2,Auditory
20,No,7,1,Reading/Writing
21,No,10,0,Reading/Writing
38,No,2,1,Kinesthetic
6,Yes,5,0,Visual
20,Yes,6,1,Auditory
11,Yes,5,0,Visual
25,Yes,5,2,Kinesthetic
20,No,7,2,Reading/Writing
12,Yes,5,1,Visual
22,No,7,2,Reading/Writing
29,Yes,3,1,Kinesthetic
10,Yes,4,0,Auditory
12,No,10,0,Reading/Writing
12,Yes,4,0,Auditory
11,Yes,6,1,Visual
15,Yes,4,2,Kinesthetic
32,Yes,2,2,Kinesthetic
18,Yes,4,1,Kinesthetic
31,Yes,3,1,Kinesthetic
10,Yes,4,0,Visual
6,Yes,5,0,Visual
11,Yes,7,1,Auditory
13,Yes,7,1,Auditory
20,Yes,4,0,Auditory
22,No,8,0,Reading/Writing
15,Yes,5,1,Auditory
38,Yes,4,2,Kinesthetic
14,No,10,0,Reading/Writing
11,Yes,4,1,Auditory
15,Yes,5,2,Auditory
23,Yes,2,1,Kinesthetic
18,Yes,5,1,Auditory
33,No,5,2,Kinesthetic
16,No,9,2,Reading/Writing
15,Yes,4,2,Visual
11,Yes,7,1,Auditory
34,No,5,2,Kinesthetic
16,Yes,2,2,Kinesthetic
20,Yes,3,3,Kinesthetic
18,No,6,0,Reading/Writing
11,Yes,3,1,Visual
13,Yes,4,1,Visual
6,Yes,3,0,Visual
14,No,10,0,Reading/Writing
16,Yes,8,1,Auditory
10,Yes,3,1,Visual
11,Yes,4,2,Auditory
8,Yes,7,1,Visual
22,No,6,2,Reading/Writing
26,Yes,5,1,Kinesthetic
19,No,9,0,Reading/Writing
8,Yes,7,1,Visual
15,No,6,0,Reading/Writing
32,No,2,1,Kinesthetic
20,Yes,7,1,Auditory
32,No,5,3,Kinesthetic
30,No,3,3,Kinesthetic
12,Yes,5,1,Visual
28,Yes,2,2,Kinesthetic
9,Yes,7,1,Visual
15,Yes,3,1,Visual
7,Yes,7,0,Visual
5,Yes,4,1,Visual
13,No,5,0,Reading/Writing
22,Yes,4,2,Kinesthetic
12,Yes,7,1,Auditory
11,No,6,0,Reading/Writing
35,No,5,2,Kinesthetic
18,No,10,0,Reading/Writing
38,No,2,2,Kinesthetic
9,Yes,4,0,Visual
15,No,5,2,Kinesthetic
25,No,5,3,Kinesthetic
33,No,2,3,Kinesthetic
9,Yes,8,1,Auditory
13,Yes,4,2,Auditory
10,Yes,7,2,Auditory
9,Yes,7,0,Visual
35,Yes,3,2,Kinesthetic
11,Yes,8,2,Auditory
14,No,6,0,Reading/Writing
22,No,9,0,Reading/Writing
15,Yes,7,0,Visual
7,Yes,3,1,Visual
18,No,10,0,Reading/Writing
24,No,6,2,Reading/Writing
14,Yes,5,2,Visual
20,Yes,7,2,Auditory
12,Yes,7,2,Auditory
11,Yes,7,2,Visual
28,Yes,4,3,Kinesthetic
11,No,9,1,Reading/Writing
6,Yes,4,2,Visual
12,Yes,4,0,Visual
21,No,6,2,Reading/Writing
10,Yes,3,1,Visual
13,Yes,4,2,Auditory
16,Yes,6,0,Auditory
20,No,9,1,Reading/Writing
37,No,3,1,Kinesthetic
15,Yes,8,0,Auditory
20,No,6,2,Reading/Writing
12,Yes,6,0,Visual
12,Yes,7,1,Visual
10,No,9,0,Reading/Writing
13,Yes,6,1,Auditory
13,Yes,4,1,Auditory
7,Yes,4,0,Visual
18,Yes,4,1,Auditory
13,Yes,4,2,Auditory
30,No,5,1,Kinesthetic
8,Yes,4,2,Visual
13,Yes,6,1,Visual
24,No,7,2,Reading/Writing
15,No,2,1,Kinesthetic
27,Yes,5,2,Kinesthetic
24,No,9,1,Reading/Writing
30,No,4,2,Kinesthetic
20,No,4,2,Kinesthetic
9,Yes,6,0,Visual
31,No,5,1,Kinesthetic
10,Yes,8,1,Auditory
35,No,4,2,Kinesthetic
13,No,5,0,Reading/Writing
15,No,10,0,Reading/Writing
18,Yes,5,1,Kinesthetic
11,Yes,8,1,Auditory
9,Yes,3,1,Visual
23,No,10,0,Reading/Writing
18,No,8,0,Reading/Writing
20,Yes,8,1,Auditory
8,Yes,5,0,Visual
20,No,2,3,Kinesthetic
17,No,6,2,Reading/Writing
15,Yes,3,0,Visual
10,Yes,8,1,Auditory
14,Yes,7,0,Visual
15,Yes,7,0,Visual
14,Yes,4,1,Auditory
38,No,3,2,Kinesthetic
18,No,2,1,Kinesthetic
11,Yes,8,0,Auditory
12,Yes,6,2,Visual
10,No,5,0,Reading/Writing
22,No,7,0,Reading/Writing
8,Yes,5,2,Auditory
17,No,7,2,Reading/Writing
32,Yes,2,2,Kinesthetic
10,No,5,1,Reading/Writing
9,Yes,6,2,Auditory
14,Yes,4,2,Auditory
35,Yes,3,1,Kinesthetic
10,No,9,0,Reading/Writing
18,Yes,5,2,Auditory
10,No,9,2,Reading/Writing
8,Yes,5,1,Auditory
12,Yes,6,0,Auditory
33,Yes,2,3,Kinesthetic
25,No,7,0,Reading/Writing
20,Yes,4,1,Kinesthetic
9,Yes,6,1,Visual
15,Yes,6,1,Visual
15,Yes,5,2,Kinesthetic
37,Yes,3,3,Kinesthetic
12,No,10,0,Reading/Writing
10,Yes,5,0,Visual
5,Yes,6,2,Visual
14,No,7,1,Reading/Writing
24,No,10,1,Reading/Writing
25,No,10,0,Reading/Writing
16,Yes,5,1,Auditory
16,Yes,7,0,Auditory
25,No,10,0,Reading/Writing
15,No,9,1,Reading/Writing
19,Yes,7,0,Auditory
25,No,3,2,Kinesthetic
12,No,8,2,Reading/Writing
11,No,10,0,Reading/Writing
16,No,6,2,Reading/Writing
11,Yes,4,2,Visual
14,No,10,1,Reading/Writing
24,Yes,3,2,Kinesthetic
8,Yes,7,0,Visual
